ID,HH_ID,PERS_ID,PERS_START,BACK_HOME_TRIP,AGE_GROUP,SEXE,OCCUPATION,HH_SIZE,N_CARS,MODE1,MODE2,MODE3,MODE4,MODE5,HOUR,WEIGHT,GROUP_HOUR,X,Y
58,15400000,15401000,0,1,11,2,4,2,1,1,,,,,1400,16.9140027,4,370104.43,5026924.42
59,15400000,15401000,0,0,11,2,4,2,1,12,,,,,1401,16.9140027,4,370104.43,5026924.42
60,15400000,15401000,0,1,11,2,4,2,1,12,,,,,1445,16.9140027,4,370104.43,5026924.42
61,15400000,15402000,1,0,12,1,4,2,1,2,,,,,1145,16.9140027,3,370104.43,5026924.42
62,15400000,15402000,0,1,12,1,4,2,1,2,,,,,1300,16.9140027,4,370104.43,5026924.42
63,15400000,15402000,0,0,12,1,4,2,1,12,,,,,1400,16.9140027,4,370104.43,5026924.42
64,15400000,15402000,0,1,12,1,4,2,1,12,,,,,1445,16.9140027,4,370104.43,5026924.42
65,16600000,16601000,1,0,6,2,1,2,2,2,,,,,620,27.51858928,1,367392.55,5029944.12
66,16600000,16601000,0,0,6,2,1,2,2,12,,,,,745,27.51858928,2,367392.55,5029944.12
67,16600000,16601000,0,0,6,2,1,2,2,12,,,,,815,27.51858928,2,367392.55,5029944.12
68,16600000,16601000,0,0,6,2,1,2,2,2,,,,,1630,27.51858928,5,367392.55,5029944.12
69,16600000,16601000,0,1,6,2,1,2,2,2,,,,,1715,27.51858928,5,367392.55,5029944.12
70,16600000,16602000,1,0,6,1,1,2,2,1,,,,,620,26.21705365,1,367392.55,5029944.12
71,16600000,16602000,0,0,6,1,1,2,2,1,,,,,640,26.21705365,1,367392.55,5029944.12
72,16600000,16602000,0,0,6,1,1,2,2,1,,,,,1630,26.21705365,5,367392.55,5029944.12
73,16600000,16602000,0,1,6,1,1,2,2,1,,,,,1700,26.21705365,5,367392.55,5029944.12
74,16800000,16801000,1,0,4,1,3,4,2,12,,,,,715,24.58428421,2,361764.62,5025026.76
75,16800000,16801000,0,1,4,1,3,4,2,12,,,,,1700,24.58428421,5,361764.62,5025026.76
76,16800000,16801000,0,0,4,1,3,4,2,1,,,,,1730,24.58428421,5,361764.62,5025026.76
77,16800000,16801000,0,1,4,1,3,4,2,1,,,,,2130,24.58428421,6,361764.62,5025026.76
78,16800000,16802000,1,0,8,1,1,4,2,11,,,,,700,20.23012066,2,361764.62,5025026.76
79,16800000,16802000,0,1,8,1,1,4,2,11,,,,,1630,20.23012066,5,361764.62,5025026.76
80,16800000,16802000,0,0,8,1,1,4,2,1,,,,,1930,20.23012066,6,361764.62,5025026.76
81,16800000,16802000,0,1,8,1,1,4,2,1,,,,,2100,20.23012066,6,361764.62,5025026.76
82,16800000,16803000,1,0,8,2,1,4,2,1,,,,,730,22.55656517,2,361764.62,5025026.76
83,16800000,16803000,0,1,8,2,1,4,2,1,,,,,800,22.55656517,2,361764.62,5025026.76
84,16800000,16803000,0,0,8,2,1,4,2,1,,,,,815,22.55656517,2,361764.62,5025026.76
85,16800000,16803000,0,1,8,2,1,4,2,1,,,,,1730,22.55656517,5,361764.62,5025026.76
86,16800000,16804000,1,0,3,1,3,4,2,12,,,,,845,24.58428421,2,361764.62,5025026.76
87,16800000,16804000,0,1,3,1,3,4,2,12,,,,,1700,24.58428421,5,361764.62,5025026.76
88,16800000,16804000,0,0,3,1,3,4,2,2,,,,,1930,24.58428421,6,361764.62,5025026.76
89,16800000,16804000,0,1,3,1,3,4,2,2,,,,,2100,24.58428421,6,361764.62,5025026.76
90,17100000,17101000,1,0,5,1,1,4,2,1,,,,,630,21.14887257,1,366362.8,5024925.22
91,17100000,17101000,0,0,5,1,1,4,2,1,,,,,650,21.14887257,1,366362.8,5024925.22
92,17100000,17101000,0,0,5,1,1,4,2,1,,,,,745,21.14887257,2,366362.8,5024925.22
93,17100000,17101000,0,0,5,1,1,4,2,2,,,,,1000,21.14887257,3,366362.8,5024925.22
94,17100000,17101000,0,0,5,1,1,4,2,1,,,,,1130,21.14887257,3,366362.8,5024925.22
95,17100000,17101000,0,0,5,1,1,4,2,1,,,,,1200,21.14887257,4,366362.8,5024925.22
96,17100000,17101000,0,0,5,1,1,4,2,1,,,,,1700,21.14887257,5,366362.8,5024925.22
97,17100000,17101000,0,0,5,1,1,4,2,1,,,,,1730,21.14887257,5,366362.8,5024925.22
98,17100000,17101000,0,1,5,1,1,4,2,1,,,,,1745,21.14887257,5,366362.8,5024925.22
99,17100000,17101000,0,0,5,1,1,4,2,1,,,,,2230,21.14887257,6,366362.8,5024925.22
100,17100000,17101000,0,0,5,1,1,4,2,1,,,,,2330,21.14887257,6,366362.8,5024925.22
101,17100000,17101000,0,1,5,1,1,4,2,1,,,,,2345,21.14887257,6,366362.8,5024925.22
102,17300000,17301000,1,0,7,1,1,7,2,1,,,,,825,19.47211641,2,343546.35,5007855.87
103,17300000,17301000,0,0,7,1,1,7,2,1,,,,,840,19.47211641,2,343546.35,5007855.87
104,17300000,17301000,0,0,7,1,1,7,2,1,,,,,850,19.47211641,2,343546.35,5007855.87
105,17300000,17301000,0,1,7,1,1,7,2,1,,,,,1730,19.47211641,5,343546.35,5007855.87
106,17300000,17301000,0,0,7,1,1,7,2,1,,,,,1850,19.47211641,6,343546.35,5007855.87
107,17300000,17301000,0,0,7,1,1,7,2,1,,,,,2100,19.47211641,6,343546.35,5007855.87
108,17300000,17301000,0,1,7,1,1,7,2,1,,,,,2430,19.47211641,7,343546.35,5007855.87
109,17300000,17302000,1,0,7,2,1,7,2,1,,,,,900,21.31610422,3,343546.35,5007855.87
